year,indico_id,name,affiliation,country
2017,433345,Jerome Jung,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Jesse Buxton,Ohio State University (US),US
2017,433345,ji xu,Central China Normal University,
2017,433345,Jian Sun,Purdue University (US),US
2017,433345,Jiangyong Jia,State University of New York (US),US
2017,433345,jiaxing zhao,Tsinghua University,
2017,433345,Jie Zhao,Purdue University,
2017,433345,Jihye Song,Pusan National University (KR),KR
2017,433345,Jihyun Bhom,"Institute of Nuclear Physics Polish Academy of Sciences ul. Radzikowskiego 152 31-342 Kraków, Poland",
2017,433345,Jim Thomas,Lawrence Berkeley National Lab. (US),US
2017,433345,Jin Huang,Brookhaven National Lab,
2017,433345,Jindřich Lidrych,Czech Technical University in Prague,
2017,433345,Jinfeng Liao,Indiana University,
2017,433345,Jing Wang,Massachusetts Inst. of Technology (US),US
2017,433345,Jingbo Zhang,Harbin Institute of Technology,
2017,433345,Jinjin Pan,Wayne State University (US),US
2017,433345,Jiri Dolejsi,Charles University (CZ),CZ
2017,433345,Joachim Schambach,University of Texas (US),US
2017,433345,Joachim Stroth,Johann-Wolfgang-Goethe Univ. (DE),DE
2017,433345,Jochen Wambach,TU-Darmstadt and GSI,
2017,433345,Joel Anthony Mazer,University of Tennessee (US),US
2017,433345,joerg aichelin,Subatech/CNRS,
2017,433345,Joern Putschke,Wayne State University (US),US
2017,433345,Johann Heuser,GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),DE
2017,433345,Johanna Stachel,Ruprecht-Karls-Universitaet Heidelberg (DE),DE
2017,433345,John Lajoie,Iowa State University,
2017,433345,John William Harris,Yale University (US),US
2017,433345,Jonah Bernhard,Duke University,
2017,433345,Jonatan Adolfsson,Lund University (SE),SE
2017,433345,Jorge Noronha,University of Sao Paulo,
2017,433345,Jorge Andres Lopez Lopez,Federico Santa Maria Technical University (CL),CL
2017,433345,Joseph Adams,Ohio State University,
2017,433345,Joseph Atchison,Texas A&M University,
2017,433345,Joseph Osborn,University of Michigan,
2017,433345,Joseph Simpson,United States Naval Academy,
2017,433345,Julia Velkovska,Vanderbilt University (US),US
2017,433345,Julius Gronefeld,GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE),DE
2017,433345,Jurgen Schukraft,CERN,
2017,433345,Jussi Auvinen,Duke University,
2017,433345,Justin Ewigleben,Lehigh University,
2017,433345,Justin Edward Frantz,Ohio University (US),US
2017,433345,Justin Thomas Blair,University of Texas (US),US
2017,433345,Jürgen Eser,Goethe-University Frankfurt,
2017,433345,Kai Zhou,Frankfurt Institute for Advanced Studies,
2017,433345,Karel Safarik,CERN,
2017,433345,Kari J. Eskola,University of Jyvaskyla,
2017,433345,Katarina Gajdosova,University of Copenhagen (DK),DK
2017,433345,Kathryn Meehan,UC Davis,
2017,433345,Kaya Tatar,Massachusetts Inst. of Technology (US),US
2017,433345,Kazuhiro Watanabe,Old Dominion University,
2017,433345,Kazuhisa Okamoto,Nagoya University,
2017,433345,Kazunori Itakura,"Theory Center, IPNS, KEK",
2017,433345,Kazuya Aoki,KEK,
2017,433345,Kazuya Nagashima,Hiroshima University (JP),JP
2017,433345,Kenta Shigaki,Hiroshima University (JP),JP
2017,433345,Kevin Dusling,Physical Review Letters,
2017,433345,Kirill Lapidus,Yale University (US),US
2017,433345,Kirill Tuchin,Iowa State University,
2017,433345,Klaus Dehmelt,State University of New York (US),US
2017,433345,Klaus Johannes Reygers,Ruprecht-Karls-Universitaet Heidelberg (DE),DE
2017,433345,Koichi Hattori,Fudan University,
2017,433345,Koji Kawaguchi,Sophia University,
2017,433345,Kolja Kauder,Wayne State University,
2017,433345,Konrad Tywoniuk,CERN,
2017,433345,Korinna Christine Zapp,CERN theory department,
2017,433345,Krishna Rajagopal,Massachusetts Inst. of Technology (US),US
2017,433345,Krista Smith,Florida State University,
2017,433345,Kristjan Gulbrandsen,University of Copenhagen (DK),DK
2017,433345,Kun Jiang,University of Science and Technology of China,
2017,433345,Kunsu Oh,Pusan National University (KR),KR
