Last Name	First Name	Affiliation	Country
Geurts	Frank	Rice University	United States
Ghiglieri	Jacopo	CERN	Switzerland
Ghosh	Jhuma	Saha Institute of Nuclear Physics (IN)	India
Ghosh	Snigdha	Variable Energy Cyclotron Centre, Kolkata	India
Giacalone	Giuliano	Université Paris-Saclay	France
Giubellino	Paolo	GSI & FAIR	Germany
Givoletti	Jacopo	CAEN SPA	Italy
Golosov	Oleg	MEPhI (Moscow, Russia)	Russia
Gonzalez	Victor	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)	Spain
Gonzalez Ferreiro	Elena	LLR, Ecole Polytechnique (FR) & Universidade de Santiago de Compostela (ES)	Spain
Gossiaux	Pol Bernard	SUBATECH -- CNRS/IN2P3, IMT Atlantique, Université de Nantes	France
Grabowska-Bold	Iwona	AGH University of Science and Technology (PL)	Poland
Graczykowski	Lukasz Kamil	Warsaw University of Technology (PL)	Poland
Grassi	Frederique	Universidade de São Paulo	Brazil
Greco	Vincenzo	University of Catania - INFN	Italy
Greene	Victoria	Vanderbilt University (US)	United States
Greif	Moritz	University of Frankfurt	Germany
Greiner	Carsten	Goethe University	Germany
Grelli	Alessandro	Utrecht University (NL)	Netherlands
Grosa	Fabrizio	Politecnico di Torino - DISAT (IT)	Italy
Grosse-Oetringhaus	Jan Fiete	CERN	Switzerland
Grossi	Eduardo	Heidelberg University	Germany
Guber	Fedor	INR, Russian Academy of Sciences (RU)	Russia
Guenther	Jana N.	Regensburg University	Germany
Guerrero Rodríguez	Pablo	UGR (Granada, Spain)/CPHT (Palaiseau, France)	France
GUILBAUD	Maxime	CERN	France
Gupta	Sourendu	TIFR, Mumbai	India
Gyulassy	Miklos	ColumbiaU, LBNL, CCNU, Wigner MTA	United States
Habib	Michael Karim	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)	Germany
Hachiya	Takashi	Nara Women's University and RIKEN	Japan
Hagiwara	Yoshikazu	Kyoto University	Japan
Hamagaki	Hideki	Nagasaki Institite of Applied Science	Japan
Hambrock	Robert	University of Cape Town	Switzerland
Hammelmann	Jan	Goethe University Frankfurt	Germany
Hansen	Hubert	IPNL	France
Haque	Md Rihan	Nikhef National institute for subatomic physics (NL)	Netherlands
Harabasz	Szymon	TU Darmstadt	Germany
Harlenderova	Alena	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)	Germany
Harris	John W	Yale University (US)	United States
Harutyunyan	Arus	Frankfurt University	Armenia
Hattori	Koichi	Fudan University	Japan
Hauksson	Sigtryggur	McGill University	Canada
Hayashi	Shinichi	University of Tokyo (JP)	Japan
He	Wanbing	Fudan University	China
He	Xiaochun	Georgia State University	United States
Heckel	Stefan	Johann-Wolfgang-Goethe Univ. (DE)	Germany
Heinz	Ulrich	The Ohio State University / CERN	United States
Hellbär	Ernst	Goethe-Universität Frankfurt	Germany
Helstrup	Håvard	Western Norway University of Applied Sciences	Norway
Herrmann	Florian	Institut für Kernphysik, Universität Münster	Germany
Herrmann	Norbert	Univ. Heidelberg	Germany
Heuser	Johann	GSI - Helmholtzzentrum fur Schwerionenforschung GmbH (DE)	Germany
Hill	Kurt Keys	University of Colorado Boulder (US)	United States
