Session/Category,Title,Speaker,Institute,Country
,From Concept to Implementation: The Silicon Tracking System of the CBM Experiment,Adrian Rodriguez,No affiliation,Unknown
,Energy dependence of transverse momentum fluctuations in Au–Au collisions from a multiphase transport model,Liuyao Zhang,Fudan University (CN),China
,Restoration of conformality and the structure of neutron stars,Michał Marczenko,University of Wrocław,Italy
,Constraints on quark matter in neutron stars and signatures of phase transition,Swarnim Shirke,Inter-University Centre for Astronomy and Astrophysics,Italy
,An EEC Way to See How Elastic Scatterings Modify Jet Showers and Their Wakes,Arjun Srinivasan Kudinoor,Massachusetts Institute of Technology,USA
,An EEC Way to See How Elastic Scatterings Modify Jet Showers and Their Wakes,Daniel Pablos,INFN Torino,Italy
,An EEC Way to See How Elastic Scatterings Modify Jet Showers and Their Wakes,Krishna Rajagopal,Massachusetts Inst. of Technology (US),USA
,Visualizing How the Structure of Jets Shapes the Structure of Their Wakes,Arjun Srinivasan Kudinoor,Massachusetts Institute of Technology,USA
,Visualizing How the Structure of Jets Shapes the Structure of Their Wakes,Daniel Pablos,INFN Torino,Italy
,Visualizing How the Structure of Jets Shapes the Structure of Their Wakes,Krishna Rajagopal,Massachusetts Inst. of Technology (US),USA
,New angles on energy correlators,Ankita Budhraja,Nikhef,Nikhef
,Probing dynamical magnetic field lifetime and chiral symmetry restoration with beam energy dependence of CME observables,Zachary Akridge,Indiana University,Italy
,Shear and bulk viscosities of gluon plasma across the transition temperature,Cheng Zhang,Central China Normal University,UK
,Novel ways for accessing the spatial structure of polarized light ions,Bjoern Schenke,Brookhaven National Lab,USA
,(3+1)D event-by-event pre-equilibrium dynamics in heavy-ion collisions,Jie Zhu,Central China Normal University,UK
,Quantifying the degree of hydrodynamic behaviour in hadronic collisions,Clemens Werthmann,Ghent University,Italy
,A new 4D lattice QCD equation of state: extended density coverage from a generalized T'-expansion,Johannès Jahan,University of Houston - Department of Physics,USA
,Spin alignment of quarkonium in the hot medium? Dynamics and phenomenology,Giorgio Torrieri,Unicamp,Canada
,Transverse momentum fluctuations and the QCD speed of sound in small systems,Yushan Mu,Fudan University,Italy
,Vector and Tensor Spin Polarization for Vector Bosons at Local Equilibrium,Zhong-Hua Zhang,Fudan University,Italy
,Small System Corrections to Hydrodynamics,William Alexander Horowitz,University of Cape Town (ZA),ZA
,Launch of Dielectron Measurement to Study the In-medium Effect using 30 GeV pA reaction at J-PARC,Satomi Nakasuga,No affiliation,Unknown
,Searching for the QCD Critical Endpoint from Lattice QCD Simulations at a Low Temperature,Jin-Biao Gu,Central China Normal University,UK
